what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1350252856743
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1350252856744
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1350252856744
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1350252856748
os,sysinfo,,,"win32",1350252856752
arch,sysinfo,,,"x86_64",1350252856752
ws,sysinfo,,,"win32",1350252856752
locale,sysinfo,,,"en_US",1350252856752
processors,sysinfo,,,"4",1350252856752
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1350252856752
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1350252856752
java.specification.name,sysinfo,,,"Java Platform API Specification",1350252856752
java.specification.vendor,sysinfo,,,"Oracle Corporation",1350252856752
java.specification.version,sysinfo,,,"1.7",1350252856752
java.vendor,sysinfo,,,"Oracle Corporation",1350252856752
java.version,sysinfo,,,"1.7.0_07",1350252856752
java.vm.info,sysinfo,,,"mixed mode",1350252856752
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1350252856752
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350252856752
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1350252856752
java.vm.specification.version,sysinfo,,,"1.7",1350252856752
java.vm.vendor,sysinfo,,,"Oracle Corporation",1350252856752
java.vm.version,sysinfo,,,"23.3-b01",1350252856752
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1350252856791
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1350252857040
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1350252857043
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1350252857119
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1350252857139
